"";"Benin";"Burkina Faso";"Gambia";"Ghana";"Guinea";"Guinea-Bissau";"Ivory Coast";"Liberia";"Mali";"Niger";"Nigeria";"Senegal";"Sierra Leone";"Togo";"n_countries"
"Acremonium africanum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Acremonium cajani";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Acremonium egyptiacum";0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
"Acremonium elatum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Acremonium hyalinulum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Acremonium meliola";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Acremonium moriforme";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Acremonium murorum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Acremonium nigricans";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Acremonium niveum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Acremonium persicinum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Acremonium polychromum";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Acremonium rutilum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Acremonium zeylanicum";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Acremonium zonatum";0;0;0;0;1;0;0;0;0;0;1;0;1;1;4
"Acrodictys balladynae";0;0;0;1;0;0;0;0;0;0;1;0;1;1;4
"Acrodictys elaeidicola";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Acrophialophora fusispora";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Acrostalagmus annulatus";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Acrostalagmus luteoalbus";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Acrostaurus turneri";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Actinocladium rhodosporum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Aderkomyces albostrigosus";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aderkomyces dilatatus";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Aecidium acanthinum";0;0;0;0;1;0;1;0;0;0;0;0;1;1;4
"Aecidium ancylanthi";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Aecidium banketense";0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
"Aecidium blepharidis";0;0;0;1;1;0;0;0;0;0;0;0;1;0;3
"Aecidium bomolense";0;0;0;1;1;0;1;0;0;0;1;0;1;1;6
"Aecidium brideliae-micranthae";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Aecidium busseanum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium bylianum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Aecidium cantense";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Aecidium caulicola";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Aecidium charantiae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium cookeanum";0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
"Aecidium crassocephali";0;0;0;1;1;0;1;0;0;0;1;0;1;0;5
"Aecidium crini";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Aecidium cussoniae";0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
"Aecidium cuvierae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium cynanchi";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Aecidium dyschoristes";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Aecidium enydrae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium evansii";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Aecidium flavidum";1;0;0;0;1;0;0;0;0;0;0;0;1;0;3
"Aecidium garckeanum";0;0;0;0;1;0;0;0;0;0;0;0;1;0;2
"Aecidium gynurae-cernuae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium hibisci-surattensis";0;0;0;1;1;0;1;0;0;0;0;0;1;0;4
"Aecidium hypericophylli";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Aecidium incomparabile";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Aecidium jasminicola";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Aecidium justiciae";0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"Aecidium leonense";0;0;0;0;0;0;1;0;0;0;0;0;1;0;2
"Aecidium mabae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium marsdeniae";0;0;0;1;0;0;0;0;0;0;0;0;1;1;3
"Aecidium micrococcae";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Aecidium microglossae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium miliare";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium mitracarpi";0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
"Aecidium nummulare";0;0;0;0;0;0;1;0;0;0;1;0;0;0;2
"Aecidium pergulariae";0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
"Aecidium phaylopsidis";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Aecidium phyllanthi";0;0;0;1;1;0;1;0;0;0;0;0;1;1;5
"Aecidium phyllanthi-floribundi";0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
"Aecidium plectroniae";0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"Aecidium salaciae";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Aecidium schwabeae";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"Aecidium schwenkiae";0;0;0;1;0;0;1;0;0;0;1;0;0;0;3
"Aecidium seguelae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium tafoense";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Aecidium tubiflorae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium tubulosum";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Aecidium tylophorae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aecidium urenae";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Aecidium vanderystianum";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Aecidium vangueriae";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Aecidium xylopiae";0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"Aecidium yapoense";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Afroboletus costatisporus";1;0;0;0;0;0;0;1;0;0;0;1;0;1;4
"Afroboletus luteolus";1;0;0;0;1;0;0;0;0;0;0;0;0;1;3
"Afroboletus pterosporus";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Afrocantharellus platyphyllus";1;0;0;0;0;0;1;0;0;0;1;0;0;1;4
"Afrocastellanoa ivoryana";1;0;0;0;1;0;1;0;0;0;0;1;0;1;5
"Agaricus arvensis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Agaricus augustus";1;0;0;0;0;0;0;0;0;1;0;0;0;0;2
"Agaricus benesii";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"Agaricus bingensis";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Agaricus bisporus";1;0;0;0;0;0;0;0;0;0;1;0;0;0;2
"Agaricus brunneopunctatus";1;0;0;0;0;0;0;0;0;0;0;0;0;1;2
"Agaricus bulbillosus";1;0;0;0;0;0;0;0;0;1;0;0;0;0;2
"Agaricus campestris";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Agaricus cappellianus";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Agaricus carminescens";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Agaricus carminostictus";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Agaricus goossensiae";1;1;0;1;0;0;1;0;0;0;0;1;0;0;5
"Agaricus impudicus";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Agaricus inoxydabilis";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Agaricus kivuensis";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Agaricus ochrascens";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Agaricus roseocingulatus";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Agaricus subedulis";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Agaricus subsaharianus";1;1;0;0;0;0;1;0;0;1;0;0;0;1;5
"Agaricus trisulphuratus";1;0;0;1;0;0;0;0;0;0;1;0;0;1;4
"Agaricus volvatulus";1;0;0;0;0;0;0;0;0;0;1;0;0;1;3
"Agrocybe broadwayi";0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
"Agrocybe howeana";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Akanthomyces aranearum";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Akanthomyces gracilis";0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
"Akanthomyces johnsonii";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Akanthomyces lecanii";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Akanthomyces pistillariiformis";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Akanthomyces tuberculatus";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Albifimbria verrucaria";0;0;0;1;0;0;0;0;0;0;0;0;0;1;2
"Albonectria rigidiuscula";0;0;0;1;0;0;1;0;0;0;0;0;1;0;3
"Albugo candida";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Albugo ipomoeae-panduratae";1;0;0;0;0;0;0;0;0;0;0;0;1;0;2
"Albugo mangenoti";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Albugo minor";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Allographa comma";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Allographa ochracea";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Allographa striatula";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Allophoma tropica";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Allothyriopsis landolphiae";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Alternaria alternata";1;1;0;1;1;0;0;0;0;0;1;0;0;0;5
"Alternaria atra";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Alternaria brassicae";0;0;0;0;0;0;1;0;0;0;0;1;0;0;2
"Alternaria brassicicola";0;0;0;1;1;0;0;0;0;0;1;0;1;0;4
"Alternaria crassa";0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
"Alternaria cucumerina";0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
"Alternaria dauci";0;0;0;1;1;0;0;0;1;0;1;1;1;0;6
"Alternaria elegans";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"Alternaria gossypina";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Alternaria hibisci";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Alternaria infectoria";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Alternaria jacinthicola";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"Alternaria longissima";0;1;0;0;1;0;0;0;0;0;1;0;1;0;4
"Alternaria macrospora";0;0;0;1;1;0;0;0;0;0;1;1;1;0;5
"Alternaria padwickii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Alternaria porri";0;0;0;1;1;0;0;0;0;0;1;0;0;0;3
"Alternaria raphani";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"Alternaria ricini";0;0;0;0;0;1;1;0;0;0;0;1;0;0;3
"Alternaria sesami";0;1;0;0;0;0;0;0;0;0;1;0;0;0;2
"Alternaria solani";0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
"Alternaria tabacina";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Alternaria tenuissima";0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
"Alternaria zinniae";0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"Alyxoria apomelaena";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Alyxoria culmigena";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Alyxoria varia";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Amandinea efflorescens";0;0;1;0;0;0;0;0;0;0;0;0;1;0;2
"Amandinea extenuata";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Amanita afrospinosa";1;0;0;0;0;0;0;0;0;0;0;0;0;1;2
"Amanita annulatovaginata";0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"Amanita aurea";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Amanita baccata";0;0;0;0;1;0;0;0;0;0;1;1;0;0;3
"Amanita bingensis";0;0;0;1;1;0;0;0;0;0;0;0;1;0;3
"Amanita calabarica";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Amanita congolensis";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Amanita craseoderma";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Amanita crassiconus";1;0;0;0;1;0;1;0;0;0;1;1;0;1;6
"Amanita fulvopulverulenta";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Amanita griseofloccosa";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Amanita hemibapha";0;1;0;0;0;0;0;0;0;0;0;1;0;0;2
"Amanita lanosa";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Amanita lanosula";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Amanita loosei";1;0;0;0;0;0;0;0;0;0;0;0;0;1;2
"Amanita masasiensis";1;1;0;0;0;0;1;0;0;0;0;0;0;1;4
"Amanita phalloides";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Amanita pulverulenta";1;0;0;0;1;0;0;0;0;0;0;0;0;1;3
"Amanita rubescens";1;0;0;0;1;0;0;0;0;0;0;1;0;1;4
"Amanita strobilaceo-luteotacta";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Amanita strobilaceovolvata";1;0;0;1;0;0;1;0;0;0;0;0;0;1;4
"Amanita subviscosa";1;1;0;0;0;0;1;0;0;0;0;0;0;1;4
"Amanita virido-odorata";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Amanita virosa";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Amanita xanthogala";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Amauroderma africana";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Amauroderma auriscalpium";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Amauroderma conjunctum";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Amauroderma exile";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Amauroderma preussii ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Amauroderma rude";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Amauroderma rugosum";0;0;0;0;1;0;0;0;0;0;0;0;1;0;2
"Amauroderma sericatum ";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Amaurodon angulisporus";0;1;0;0;0;0;0;0;0;0;0;0;0;1;2
"Amazonia clusiae";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Amazonia psychotriae";0;0;0;1;0;0;0;0;0;0;0;0;1;1;3
"Amazonia tetrorchidii";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Ambispora appendicula";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Ambispora gerdemannii";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Ambispora reticulata";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Ambrosiella xylebori";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Amniculicola longissima";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Ampelomyces quisqualis";0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"Amphisphaerella varians";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Amphisphaeria coicis";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Ampullifera foliicola";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Ampullifera leonensis";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Amylosporus campbellii";0;0;0;1;0;0;0;0;0;0;0;1;0;0;2
"Amylosporus ryvardenii";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Anaptychia adamesii";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Anaptychia cinerascens var. coralligera";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Anaptychia cinerascens var. pulvinigera";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Anaptychia esorediata";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Anaptychia isidiophora";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Anaptychia leucomelos var. multifida";0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"Anaptychia squarrosa";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Anhellia tristis";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Anisomeridium epiphyllum";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Anisomeridium foliicola";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Annellodochium ramulisporum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Annellolacinia dinemasporioides";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Annellophora africana";0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"Annellophora mussaendae";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Annellophora phoenicis";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Annulohypoxylon annulatum";0;0;0;1;0;0;0;0;0;0;0;1;0;0;2
"Annulohypoxylon moriforme";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Annulohypoxylon stygium";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Annulohypoxylon truncatum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Anteaglonium parvulum ";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Antennospora quadricornuta";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Anthostoma anisophylleae";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Anthostomella bambusicola";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Anthostomella coffeae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Anthostomella lophirae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Anthracocystis anadelphiae";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Anthracocystis caledonica";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Anthracocystis compacta";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Anthracocystis ehrenbergii";1;1;0;1;1;0;1;0;1;1;1;1;0;1;10
"Anthracocystis everhartii";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Anthracocystis grodzinskae";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Anthracocystis hodsonii";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Anthracocystis ischaemoides";0;0;0;0;1;0;0;0;0;0;0;0;1;1;3
"Anthracocystis livingstoneana";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"Anthracocystis mutabilis";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Anthracocystis paspali-thunbergii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Anthracocystis penniseti";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Anthracocystis rhytachnes";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Anthracocystis rhytachnes-rottboellioidis";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Anthracocystis tothii";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Anthracoidea heterospora";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Anthracophyllum nigritum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Anthracothecium cinerosum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Anthracothecium guineense";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Antrodia calceus ";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Aphanoascus foetidus";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Aphanoascus terreus";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aphanocladium meliolae";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Apioperdon pyriforme";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Apiosordaria nigeriensis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Apiospora camptospora";0;0;0;1;0;0;0;0;0;0;1;0;1;1;4
"Aplanocalenia inconspicua";0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"Aplosporella congoensis";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Aplosporella elaeidis";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Aplosporella solani";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Aplosporella violacea";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Appendiculella dombeyae";0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
"Appendiculella uapacicola";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Arachniotus ruber";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Archaeospora schenckii";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Archaeospora trappei";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Archaeospora undulata";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Arcyria affinis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Arcyria biniensis";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Arcyria cinerea";0;0;1;0;0;0;0;1;0;0;1;0;1;0;4
"Arcyria cinerea var. digitata";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Arcyria denudata";0;0;0;0;0;0;0;1;0;0;1;0;1;0;3
"Arcyria globosa";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Arcyria incarnata";0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
"Arcyria insignis";0;0;1;0;1;0;0;0;0;0;1;0;0;0;3
"Arcyria major";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Arcyria nutans";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Arcyria oerstedii";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Arcyria papilla";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Arcyria pomiformis";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Aristastoma guttulosum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Armillaria fuscipes";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Armillaria heimii";0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
"Armillaria mellea";0;0;0;1;1;0;1;0;0;0;1;0;1;1;6
"Arrhenia auriscalpium";1;1;0;0;0;0;1;0;0;0;0;0;0;1;4
"Arthonia accolens";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Arthonia cyanea";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Arthonia elevata";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Arthonia flavoverrucosa";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Arthonia fuscocyanea";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Arthonia gregaria var. adspersa";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Arthonia leptogrammodes";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Arthonia leptosperma";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Arthonia lividula";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Arthonia lobulocarpa";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Arthonia modesta";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Arthonia obesa";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
